TypeKey,Disaster_group,Disaster_type,Disaster_subtype,Disaster_subsubtype
0,Climatological,Drought,Drought,Not Applicable
1,Geophysical,Earthquake,Ground movement,Not Applicable
2,Geophysical,Volcanic activity,Ash fall,Not Applicable
3,Geophysical,Mass movement (dry),Rockfall,Not Applicable
4,Meteorological,Storm,Tropical cyclone,Not Applicable
5,Hydrological,Flood,Not Applicable,Not Applicable
6,Biological,Epidemic,Bacterial disease,Not Applicable
7,Geophysical,Mass movement (dry),Landslide,Not Applicable
8,Hydrological,Landslide,Avalanche,Not Applicable
9,Climatological,Wildfire,Forest fire,Not Applicable
10,Hydrological,Flood,Riverine flood,Not Applicable
11,Meteorological,Storm,Convective storm,Tornado
12,Biological,Epidemic,Viral disease,Not Applicable
13,Hydrological,Landslide,Landslide,Not Applicable
14,Hydrological,Landslide,Mudslide,Not Applicable
15,Geophysical,Earthquake,Tsunami,Not Applicable
16,Meteorological,Storm,Convective storm,Hail
17,Meteorological,Storm,Not Applicable,Not Applicable
18,Hydrological,Landslide,Not Applicable,Not Applicable
19,Meteorological,Extreme temperature,Heat wave,Not Applicable
20,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",Not Applicable
21,Climatological,Wildfire,Not Applicable,Not Applicable
22,Meteorological,Fog,Not Applicable,Not Applicable
23,Hydrological,Flood,Coastal flood,Not Applicable
24,Meteorological,Storm,Convective storm,Severe storm
25,Meteorological,Storm,Convective storm,Winter storm/Blizzard
26,Meteorological,Extreme temperature,Cold wave,Not Applicable
27,Hydrological,Flood,Flash flood,Not Applicable
28,Biological,Epidemic,Parasitic disease,Not Applicable
29,Meteorological,Storm,Convective storm,Lightning/Thunderstorms
30,Biological,Epidemic,Not Applicable,Not Applicable
31,Biological,Insect infestation,Locust,Not Applicable
32,Meteorological,Storm,Convective storm,Not Applicable
33,Biological,Insect infestation,Worms,Not Applicable
34,Meteorological,Storm,Convective storm,Sand/Dust storm
35,Meteorological,Extreme temperature,Severe winter conditions,Not Applicable
36,Biological,Insect infestation,Grasshopper,Not Applicable
37,Biological,Insect infestation,Not Applicable,Not Applicable
38,Geophysical,Mass movement (dry),Avalanche,Not Applicable
39,Geophysical,Mass movement (dry),Subsidence,Sudden subsidence
40,Meteorological,Storm,Extra-tropical storm,Not Applicable
41,Hydrological,Landslide,Avalanche,Winter storm/Blizzard
42,Hydrological,Landslide,Subsidence,Sudden subsidence
43,Meteorological,Extreme temperature,Severe winter conditions,Snow/Ice
44,Hydrological,Landslide,Rockfall,Not Applicable
45,Extra-terrestrial,Impact,Not Applicable,Not Applicable
46,Geophysical,Volcanic activity,Lava flow,Not Applicable
47,Geophysical,Volcanic activity,Not Applicable,Not Applicable
48,Biological,Animal accident,Not Applicable,Not Applicable
49,Meteorological,Storm,Convective storm,Storm/Surge
50,Meteorological,Storm,Convective storm,Derecho
51,Geophysical,Volcanic activity,Pyroclastic flow,Not Applicable
52,Climatological,Drought,Not Applicable,Not Applicable
53,Climatological,Glacial lake outburst,Not Applicable,Not Applicable
